Reaction,fc,pval
10FTHFtm,2.118160168462525,0
2AMADPTm,0.8432313021770336,0
ACONTm,0.8391375598617009,0
AKGMALtm,48.49743011063065,0
ALAASNNaEx,0.8490120253667011,0
ARACHCPT1,0.8415804411823049,0
ARACHCPT2,0.8415804411823062,0
ASNSERNaEx,0.8510571795161165,0
ASNt4,0.8449305960303617,0
BILIRED,0.9369038632330953,0
BTNt2,13.602264460029945,0
C161CPT1,0.8619462330898022,0
C161CPT2,0.9837249561855806,0
C161CRNt,0.9837249561855806,0
CDIPTr,0.8234788695630474,0
CREATt4_2_r,1.636398222512657,0
CYSALANaEx,0.9056927180230101,0
CYSASNNaEx,0.8699067944301013,0
CYSGLUexR,3.3265668843767897,0
CYSGLYexR,0.8222588616540635,0
CYTK11,0.9341056747501082,0
CYTK12n,0.990097229863834,0
CYTK14n,2.727714573993078,0
CYTK4n,1.7296970568814487,0
CYTK6n,1.950653924716909,0
CYTK8,0.8848795388010546,0
DCK1m,1.1436737640137544,0
DCSPTN1CRNt,2.5611191950368846,0
DMNONCOACRNCPT1,0.9660481867058185,0
ESTRONESt,0.981455130057804,0
EX_atp[e],0.85800180274632,0
EX_dag_hs[e],1.2554915182896156,0
EX_dheas[e],0.9451976065256639,0
EX_leuktrC4[e],6.979527817248043,0
EX_strch1[e],0.8247020056708223,0
EX_ump[e],0.8401073405889157,0
FATP6t,2.120498060672813,0
FUMTSULtm,2.2593685325791606,0
GLNASNNaEx,0.8208079420208347,0
GLPASE2,0.8613229935691247,0
GLUDxm,9.292668420495811,0
GLUNm,0.8318136141362813,0
H2O2tp,27.736697897829707,0
HSD3B7P,0.9215697930861094,0
LEUt5m,1.7881823907821697,0
LEUTAm,1.7881823907821697,0
LNLNCAt,2.664134144772059,0
LNLNCGCPT2,1.9363326660249542,0
LNLNCGt,1.081286204925436,0
MINOHPtn,0.8737994498345617,0
NDPK1m,2.864306955118465,0
NDPK3n,2.9035947909522153,0
NDPK4n,121.86625328511407,0
ORNt3m,1.2890739962027336,0
PIPLC,0.91759544511999,0
PROSTGE2t,1.0537026745304414,0
PTDCAt,10.012790954284595,0
SERGLNNaEx,0.9781409822642785,0
STRDNCCRNt,4037.749350299552,0
THFt2,1.1561238031573309,0
THRASNNaEx,0.8894880938583146,0
UMPK2,3.0213511701366227,0
UMPK4,4.637682139344734,0
URIDK2m,1.0544824877880186,0
EX_prpp[e],2.162239856040158,0
r0021,3.182672853007524,0
r0051,2.162239856040158,0
r0249,1.0202298824049816,0
r0276,1.6519631888376995,0
r0408,2.2043833994227087,0
r0425,2.356590060432466,0
r0437,1.4452442952190139,0
r0616,1.0051173167677359,0
r0643,2.8421243518839603,0
r0660,12.143073369871324,0
r0707,0.9886446874368153,0
r0724,27.800133035393063,0
r0791,1.6584054938496038,0
r0840,1.0202298824049825,0
r0885,3.7082452131527774,0
r0917,4.810931003339212,0
r0999,1.4452442952190139,0
r1090,0.9027402307111624,0
r1147,0.8866247608524557,0
r1533,0.9284656446178634,0
r1547,1.2695580131684392,0
r1548,2.6854505371002064,0
r1556,1.2874973954834175,0
r1566,1.2293459842789998,0
r1570,2.292689051963682,0
r1578,2.1396238022154686,0
r1579,1.8053620999767177,0
r1581,23.905997341389313,0
r1587,5.517273282825999,0
r1588,1.3134919290713485,0
r1590,1.0088067728186452,0
r1594,0.980288207121863,0
r1596,1.2771195119909715,0
r1603,5.74338394109068,0
r1606,14.035014998305547,0
r1607,4.380364907459492,0
r1609,1.0397703600985835,0
r1612,1.4255334009575524,0
r1620,1.1245735983108387,0
r1621,1.3695788296356268,0
r1622,2.801298732657122,0
r1624,1.595294216942148,0
r1626,2.0261260084184514,0
r1627,1.2878113758664,0
r1628,1.3227081541073948,0
r1629,2.70719112501489,0
r1630,3.011337555841991,0
r1633,0.957101069731518,0
r1635,20.048674645413115,0
r1643,10.533380775508833,0
r1645,1.5048380019655434,0
r1647,1.0572726930885548,0
r1650,3.084041107564181,0
r1653,1.109029528626949,0
r1660,1.0652404836375549,0
r1662,1.069718052744115,0
r1666,0.975223391470226,0
r1670,1.0095754458535375,0
r1691,0.8201896424326868,0
r1696,0.9079729827029691,0
r1716,0.9150170984802556,0
r1717,0.8273880154863308,0
r1740,0.8921941543972677,0
r1747,0.9013248320295907,0
r1749,0.9810408092711002,0
r1753,0.9944513499660602,0
r1757,0.8704682218491377,0
r1768,0.8793041397144857,0
r1777,0.8572675816672122,0
r1823,0.8304156859858514,0
r1863,0.9048460093252108,0
r1896,0.8731508462550778,0
r1899,0.9728726849053377,0
